"context","target"
"WARN_VEH_INCOM","Veículos Incompatíveis"
"WARN_TEXT","Os seguintes erros precisam ser corrigidos antes de prosseguir:"
"CONFIRM_STARTT","Voltar ao início?"
"CONFIRM_START","Você irá perder todos projetos não salvos se retornar ao início."
"CONFIRM_TEXT","Você tem certeza que deseja continuar?"
"CONFIRM_LOADT","Carregar projeto?"
"CONFIRM_LOAD","Você perderá todo o progresso não salvo se carregar um projeto."
"CONFIRM_SAVET","Você não irá exportar o mod"
"CONFIRM_SAVE","Esta função serve para salvar seu projeto do Paint Job Packer para retornar a ele mais tarde, NÃO para exportar seu mod."
"CONFIRM_SAVEE","Para exportar o mod, pressione Exportar dentro da janela de informação em Informações dentro do jogo."
"SAVE_TITLE","Salvar Projeto"
"SAVE_INVALT","Este não é um arquivo de projeto válido"
"SAVE_INVAL","O arquivo selecionado não é um arquivo de projeto do Paint Job Packer."
"SAVE_INVALQ","Deseja salvar como %s?"
"LOAD_TITLE","Carregar Projeto"
"LOAD_INVAL","Por favor, selecione um arquivo .pjpproject."
"EXPORT_TITLE","Opções de exportação de mod"
"EXPORT_CHOOSE","Escolha um local para exportar"
"EXPORT_SELECT","Por facor, selecione um local para exportar seu mod"
"EXPORT_FOLDER","Local escolhido: %s"
"EXPORT_CREATE","%s pasta será criada"
"EXPORT_EMPTY","Usar imagens vazias"
"EXPORT_TEMPLATES","Usar templates"
"EXPORT_WINDOW","Exportar mod"
"EXPORT_EXISTST","A pasta existe"
"EXPORT_EXISTS","A pasta %s já existe."
"EXPORT_EXISTS2","Por favor, selecione uma pasta diferente, ou apague a pasta %s."
"EXPORT_READY","Pronto para exportar o mod :)"
"EXPORT_DONET","Exportação concluida"
"EXPORT_DONE","Seu mod foi salvo em:"
"EXPORT_DONE2","Obrigado por usar o Paint Job Packer! Aperte Certo para sair"
"THEME_DARK","Modo escuro"
"THEME_LIGHT","Modo claro"
"WSHOP_LOCAL","Não gerar arquivos para Steam Workshop"
"WSHOP_WSHOP","Gerar arquivos para Steam Workshop"
"CHANGE_TITLE","Modo de máscara de cor"
"CHANGE_DEFAULT","Cor padrão:"
"CHANGE_RED","Vermelho"
"CHANGE_GREEN","Verde"
"CHANGE_BLUE","Azul"
"CHANGE_ENABLE","Habilitado"
"CHANGE_USER","Alterável pelo usuário"
"HELP_MNAME","O nome do seu mod, no gerenciador de mods"
"HELP_MAUTH","O nome do autor do mod, no gerenciador de mods"
"HELP_MVER","A versão do mod, no gerenciador de mods"
"HELP_MDESC","A descrição do mod, no gerenciador de mods"
"HELP_PNAME","O nome da sua pintura, exibido na loja de melhorias do jogo"
"HELP_PRICE","Quanto custa a pintura personalizada na loja do jogo"
"HELP_UNLOCK","Em que nível os usuários podem comprar sua pintura personalizada, ou se ela é desbloqueada por padrão em um novo perfil"
"HELP_INAME","Um nome único usado pelo jogo para identificar sua pintura. Usuários do mod NÃO verão esse nome"
"HELP_CABIN","Se a sua pintura for adequada apenas para a cabine maior de cada caminhão, ou para todas as cabines"
"HELP_SPLIT","Será que devo fazer uma única pintura para cada caminhão ou dividir o trabalho e fazer uma para cada cabine"
"HELP_BASE","A cor exibida em qualquer parte transparente da sua pintura"
"HELP_CHANGE","Requer a criação de uma máscara de pintura com as cores vermelha, verde e azul, em vez de uma pintura normal. Permite várias cores intercambiáveis, mas não logotipos e outros elementos em cores plenas."
"HELP_CHANGER","Aparece através do vermelho brilhante (#FF0000)"
"HELP_CHANGEG","Aparece através do verde brilhante (#00FF00)"
"HELP_CHANGEB","Aparece através do azul brilhante (#0000FF)"
"CHANGE_BASE","Cor base"
