"context","target"
"TAB_TRUCK_MODS","LKW Mods"
"TAB_TRAILER_MODS","Auflieger Mods"
"TAB_BUS_MODS","Bus Mods"
"TAB_CAR_MODS","PKW Mods"
"TAB_NEW","Neue Lackierung"
"WARN_MNAME_BLANK","Der Mod-Name darf nicht leer sein. Bitte geben Sie einen Mod-Namen ein"
"WARN_MNAME_BLANKS","Mod Name ist leer"
"WARN_MNAME_INVAL","Der Mod-Name darf die folgenden Zeichen nicht enthalten:"
"WARN_MNAME_INVALS","Der Mod-Name enthält ungültige Zeichen"
"WARN_MNAME_FULL","Der Mod-Name darf nicht mit einem Punkt (.) enden"
"WARN_MNAME_FULLS","Der Mod-Name endet mit einem Punkt"
"WARN_MNAME_SPC","Der Mod-Name darf nicht mit einem Leerzeichen enden"
"WARN_MNAME_SPCS","Der Mod-Name endet mit einem Leerzeichen"
"WARN_MNAME_RESER","Der Mod-Name darf keines der folgenden sein:"
"WARN_MNAME_RESERS","Der Mod-Name ist ein reservierter Dateiname"
"WARNING_HELP","Hilfe"
"WARNING_TITLE","Warnung"
"WARN_MAUTH_INVAL","Der Mod-Ersteller darf die folgenden Zeichen nicht enthalten:"
"WARN_MAUTH_INVALS","Der Mod-Ersteller enthält ungültige Zeichen"
"WARN_MVER_INVAL","Die Mod-Version darf die folgenden Zeichen nicht enthalten:"
"WARN_MVER_INVALS","Die Mod-Version enthält ungültige Zeichen"
"WARN_PNAME_BLANK","Der Name der Lackierung darf nicht leer sein. Bitte geben Sie einen Namen für die Lackierung ein"
"WARN_PNAME_BLANKS","Der Name der Lackierung ist leer"
"WARN_PNAME_INVAL","Der Name der Lackierung darf die folgenden Zeichen nicht enthalten:"
"WARN_PNAME_INVALS","Der Name der Lackierung enthält ungültige Zeichen"
"WARN_PNAME_FULL","Der Name der Lackierung darf nicht mit einem Punkt (.) enden"
"WARN_PNAME_FULLS","Der Name der Lackierung endet mit einem Punkt"
"WARN_PNAME_SPC","Der Name der Lackierung darf nicht mit einem Leerzeichen enden"
"WARN_PNAME_SPCS","Der Name der Lackierung endet mit einem Leerzeichen"
"WARN_PNAME_RESER","Der Name der Lackierung darf keines der folgenden sein:"
"WARN_PNAME_RESERS","Der Name der Lackierung ist ein reservierter Dateiname"
"WARN_PNAME_ASCII","Der Name der Lackierung darf nur ASCII-Zeichen enthalten:"
"WARN_PNAME_ASCIIS","Der Name der Lackierung ist kein ASCII"
"WARN_PRICE_ZERO","Der Preis darf nicht null sein"
"WARN_PRICE_ZEROS","Der Preis ist null"
"WARN_INAME_BLANK","Der interne Name darf nicht leer sein. Bitte geben Sie einen internen Namen ein"
"WARN_INAME_BLANKS","Der Interne Name ist leer"
"WARN_INAME_BLANKW","Der interne Name der Lackierung ist leer"
"WARN_INAME_LONG10","Der interne Name darf nicht länger als 10 Zeichen sein"
"WARN_INAME_LONG12","Der interne Name darf nicht länger als 12 Zeichen sein"
"WARN_INAME_LONGS","Der interne Name ist zu lang"
"WARN_INAME_LONGW","Der interne Name der Lackierung ist zu lang"
"WARN_INAME_ALPHA","Der interne Name darf nur die folgenden Zeichen enthalten – ohne Leerzeichen:"
"WARN_INAME_ALPHAS","Der interne Name ist nicht alphanumerisch"
"WARN_INAME_ALPHAW","Der interne Name der Lackierung ist nicht alphanumerisch"
"WARN_INAME_RESER","Der interne Name darf keines der folgenden sein:"
"WARN_INAME_RESERS","Der interne Name ist ein reservierter Dateiname"
"WARN_INAME_RESERW","Der interne Name der Lackierung ist ein reservierter Dateiname"
"WARN_INAME_CONF","Die folgenden Lackierungen haben denselben internen Namen:"
"WARN_INAME_CONFS","Widersprüchliche interne Namen"
"WARN_INAME_CONFW","Widersprüchliche interne Namen für Lackierungen"
"WARN_VEH_NONE","Bitte wählen Sie mindestens einen LKW, Anhänger oder Mod aus, den Ihre Lackierung unterstützen soll"
"WARN_VEH_NONES","Keine Fahrzeuge ausgewählt"
"WARN_VEH_INCOM","Inkompatible Fahrzeuge"
"WARN_TEXT","Die folgenden Fehler müssen behoben werden, bevor fortgefahren werden kann:"
"CONFIRM_STARTT","Zum Start zurückkehren?"
"CONFIRM_START","Nicht gespeicherte Änderungen gehen verloren, wenn Sie zum Start zurückkehren."
"CONFIRM_TEXT","Sind Sie sicher, dass Sie fortfahren möchten?"
"CONFIRM_LOADT","Projekt laden?"
"CONFIRM_LOAD","Alle ungespeicherten Änderungen gehen verloren, wenn Sie ein Projekt laden."
"CONFIRM_SAVET","Mod wird nicht exportiert"
"CONFIRM_SAVE","Diese Funktion dient dazu, Ihr Paint Job Packer-Projekt zu speichern, um später darauf zurückzukommen – NICHT dazu, Ihren Mod zu exportieren."
"CONFIRM_SAVEE","Um deinen Mod zu exportieren, drücke auf dem Bildschirm „In-Game Paint Job Info“ auf „Exportieren“."
"SAVE_TITLE","Projekt speichern"
"SAVE_INVALT","Keine gültige Projektdatei"
"SAVE_INVAL","Die ausgewählte Datei ist keine Paint Job Packer-Projektdatei."
"SAVE_INVALQ","Möchten Sie stattdessen als %s speichern?"
"LOAD_TITLE","Projekt laden"
"LOAD_INVAL","Bitte wählen Sie eine .pjpproject-Datei aus."
"EXPORT_TITLE","Mod-Exportoptionen"
"EXPORT_CHOOSE","Wählen Sie den Speicherort für den Export aus"
"EXPORT_SELECT","Bitte wählen Sie einen Speicherort für den Export Ihrer Modifikation"
"EXPORT_FOLDER","Ausgewählter Speicherort: %s"
"EXPORT_CREATE","Der Ordner %s wird erstellt"
"EXPORT_EMPTY","Leere Platzhalter verwenden"
"EXPORT_TEMPLATES","Vorlagen verwenden"
"EXPORT_WINDOW","Mod exportieren"
"EXPORT_EXISTST","Ordner existiert"
"EXPORT_EXISTS","Der Ordner %s existiert bereits."
"EXPORT_EXISTS2","Bitte wählen Sie einen anderen Speicherort oder löschen Sie den Ordner %s."
"EXPORT_READY","Mod ist bereit für den Export :)"
"EXPORT_DONET","Export abgeschlossen"
"EXPORT_DONE","Dein Mod wurde exportiert nach:"
"EXPORT_DONE2","Vielen Dank für die Nutzung von Paint Job Packer! Drücke OK, um das Programm zu beenden"
"THEME_DARK","Dunkler Modus"
"THEME_LIGHT","Heller Modus"
"WSHOP_LOCAL","Keine Steam-Workshop-Dateien generieren"
"WSHOP_WSHOP","Steam-Workshop-Dateien generieren"
"CHANGE_TITLE","Farbmasken-Modus"
"CHANGE_DEFAULT","Standardfarbe:"
"CHANGE_RED","Rot"
"CHANGE_GREEN","Grün"
"CHANGE_BLUE","Blau"
"CHANGE_ENABLE","Aktiviert"
"CHANGE_USER","Durch Benutzer veränderbar"
"HELP_MNAME","Der Name deines Mods im Mod-Manager"
"HELP_MAUTH","DerErsteller deines Mods im Mod-Manager"
"HELP_MVER","Die Version deines Mods im Mod-Manager"
"HELP_MDESC","Die Beschreibung deines Mods im Mod-Manager"
"HELP_PNAME",""
"HELP_PRICE",""
"HELP_UNLOCK",""
"HELP_INAME",""
"HELP_CABIN",""
"HELP_SPLIT",""
"HELP_BASE",""
"HELP_CHANGE",""
"HELP_CHANGER",""
"HELP_CHANGEG",""
"HELP_CHANGEB",""
"CHANGE_BASE",""
