"context","target"
"WSHOP_WSHOP","Steam Workshop 파일 생성"
"CHANGE_TITLE","컬러 마스크 모드"
"CHANGE_DEFAULT","기본 색상:"
"CHANGE_RED","빨강"
"CHANGE_GREEN","초록"
"CHANGE_BLUE","파랑"
"CHANGE_ENABLE","활성화됨"
"CHANGE_USER","사용자 변경 가능"
"HELP_MNAME","모드 매니저의 모드 이름"
"HELP_MAUTH","모드 매니저의 모드 저자"
"HELP_MVER","모드 매니저의 모드 버전"
"HELP_MDESC","모드 매니저의 모드 설명"
"HELP_PNAME","게임 내 업그레이드 상점에 표시되는 페인트 작업의 이름"
"HELP_PRICE","게임 내 업그레이드 상점에서 페인트 작업에 드는 비용은 얼마입니까"
"HELP_UNLOCK","사용자가 페인트 작업을 구매할 수 있는 레벨 또는 새 프로필에서 기본적으로 잠금 해제되어 있는지 여부"
"HELP_INAME","게임에서 페인트 작업을 식별하는 데 사용하는 고유한 이름입니다. 모드 사용자는 이 이름을 볼 수 없습니다"
"HELP_CABIN","페인트 작업이 각 트럭의 가장 큰 캐빈만 지원하는지, 아니면 모든 캐빈을 지원하는지 여부"
"HELP_SPLIT","각 트럭에 페인트 작업을 하나씩 만들 것인지, 아니면 각각의 캐빈에 페인트 작업을 나눠서 만들 것인지 결정합니다"
"HELP_BASE","페인트 작업의 투명한 부분을 통해 보이는 색상"
"HELP_CHANGE","일반 페인트 작업 대신 빨강, 초록, 파랑색으로 페인트 작업 마스크를 만들어야 합니다. 다양한 색상을 변경할 수 있지만 전체 색상 로고 등은 변경할 수 없습니다."
"HELP_CHANGER","밝은 빨강으로 표시 (#FF0000)"
"HELP_CHANGEG","밝은 초록으로 표시 (#00FF00)"
"HELP_CHANGEB","밝은 파랑으로 표시 (#0000FF)"
"CHANGE_BASE","기본 색상"
